strain,stress
1.069999788631186416e-01,-4.428976300000000152e-04
1.072500456508960337e-01,-3.004997100000000062e-04
1.075000329767132889e-01,6.537881300000000047e-04
1.077500203025307662e-01,1.195835000000000046e-04
1.080000076283482296e-01,-1.385869700000000098e-03
1.082499949541654849e-01,-4.689151499999999755e-04
1.084999822799829622e-01,1.145034000000000069e-03
1.087499696058004395e-01,6.926343599999999670e-05
1.090000363935775957e-01,-3.360192300000000121e-04
1.092500237193950730e-01,3.405230000000000192e-04
1.095000110452125502e-01,1.611021800000000026e-04
1.097499983710298055e-01,-1.711730099999999897e-05
1.099999856968472828e-01,4.646636700000000126e-04
1.102499730226647462e-01,-3.201979800000000253e-04
1.105000398104419163e-01,-1.663213600000000071e-04
1.107500271362593935e-01,9.188877799999999323e-05
1.110000144620766488e-01,1.659319299999999982e-05
1.112500017878941122e-01,5.825997800000000106e-05
1.114999891137115895e-01,1.513057500000000006e-04
1.117499764395288447e-01,-2.465727299999999800e-04
1.120000432273062368e-01,1.469901299999999960e-04
1.122500305531237141e-01,-1.025943599999999987e-04
1.125000178789409555e-01,-2.033247899999999944e-04
1.127500052047584328e-01,2.562762499999999741e-04
1.129999925305759101e-01,4.748903100000000099e-04
1.132499798563931653e-01,-5.725082299999999496e-04
1.135000466441705574e-01,-8.073683500000000506e-05
1.137500339699877988e-01,2.908402000000000144e-04
1.140000212958052761e-01,6.721590499999999897e-04
1.142500086216227534e-01,-1.283292500000000067e-03
1.144999959474399948e-01,-1.105377800000000108e-03
1.147499832732574720e-01,6.514735899999999887e-04
1.149999705990749493e-01,-2.565909399999999926e-04
1.152500373868521194e-01,-5.519000899999999907e-04
1.155000247126695967e-01,-3.589976399999999959e-04
1.157500120384868381e-01,9.026155399999999602e-04
1.159999993643043154e-01,-3.377072200000000128e-04
1.162499866901217926e-01,-1.144638799999999961e-03
1.164999740159390479e-01,6.181395200000000349e-05
1.167500408037164400e-01,5.623035699999999991e-04
1.170000281295339034e-01,-4.664116500000000222e-04
1.172500154553511587e-01,-6.757750700000000324e-04
1.175000027811686359e-01,7.801752200000000191e-04
1.177499901069861132e-01,5.168961300000000285e-05
1.179999774328033546e-01,-8.151498200000000145e-04
1.182500442205807467e-01,6.783493699999999782e-05
1.185000315463980020e-01,5.894482299999999602e-04
1.187500188722154792e-01,-9.332831600000000404e-04
1.190000061980329565e-01,2.710677000000000204e-04
1.192499935238501979e-01,5.581680999999999795e-04
1.194999808496676752e-01,-4.539962799999999873e-04
1.197500476374450673e-01,-6.563324600000000359e-04
1.200000349632623226e-01,-5.238043299999999838e-04
1.202500222890797998e-01,-3.988514299999999964e-05
1.205000096148972633e-01,4.459361800000000067e-04
1.207499969407145185e-01,-1.471250599999999991e-05
1.209999842665319958e-01,2.976741500000000000e-05
1.212499715923494731e-01,1.774164299999999998e-04
1.215000383801266293e-01,-3.341392400000000240e-04
1.217500257059441066e-01,-3.577387100000000049e-04
1.220000130317613618e-01,-1.951715199999999877e-04
1.222500003575788391e-01,1.205579900000000061e-04
1.224999876833963164e-01,-6.050138700000000499e-04
1.227499750092135578e-01,1.650465800000000050e-04
1.230000417969909499e-01,-4.082641999999999933e-04
1.232500291228084272e-01,-3.408896499999999863e-04
1.235000164486256824e-01,4.580278400000000155e-04
1.237500037744431458e-01,-6.446543999999999582e-04
1.239999911002606231e-01,-5.364879700000000154e-04
1.242499784260778783e-01,3.032025099999999967e-04
1.245000452138552705e-01,8.115863299999999739e-04
1.247500325396725118e-01,-1.132076899999999962e-03
1.250000198654900030e-01,-5.929014299999999698e-04
1.252500071913074664e-01,7.205246000000000437e-04
1.254999945171247078e-01,2.725268399999999903e-04
1.257499818429421989e-01,-3.175676899999999980e-04
1.260000486307195910e-01,-3.875406300000000097e-05
1.262500359565368324e-01,6.985649000000000242e-04
1.265000232823543236e-01,-4.535229000000000213e-04
1.267500106081717870e-01,-1.995560500000000017e-04
1.269999979339890284e-01,1.914225199999999936e-04
1.272499852598065195e-01,-6.713740100000000139e-05
1.274999725856237609e-01,4.021716699999999746e-04
1.277500393734011530e-01,-7.391010000000000375e-04
1.280000266992186164e-01,-3.514094900000000167e-05
1.282500140250358855e-01,1.098126200000000010e-04
1.285000013508533490e-01,1.580003099999999997e-04
1.287499886766708401e-01,3.186803199999999884e-06
1.289999760024880815e-01,2.333631600000000061e-04
1.292500427902654736e-01,-1.958527900000000090e-04
1.295000301160829370e-01,7.069998599999999906e-05
1.297500174419002061e-01,-1.030040100000000076e-06
1.300000047677176696e-01,5.366633000000000427e-04
1.302499920935349109e-01,-1.042993799999999928e-03
1.304999794193524021e-01,-3.035209099999999901e-04
1.307500462071297942e-01,5.862640299999999577e-04
1.310000335329470356e-01,-2.286195400000000117e-04
1.312500208587644990e-01,-1.699296100000000144e-05
1.315000081845819901e-01,4.620522300000000165e-04
1.317499955103992315e-01,-7.116568800000000255e-04
1.319999828362167227e-01,2.360177200000000100e-04
1.322499701620341861e-01,2.960930299999999741e-04
1.325000369498113562e-01,-1.307329000000000032e-04
1.327500242756288196e-01,2.043665199999999970e-04
1.330000116014460887e-01,1.979480000000000096e-04
1.332499989272635521e-01,-2.185816999999999947e-04
1.334999862530810155e-01,-6.627148299999999475e-04
1.337499735788982846e-01,-4.597309000000000269e-04
1.340000403666756768e-01,2.255913500000000132e-04
1.342500276924931402e-01,8.059460900000000043e-05
1.345000150183103815e-01,6.417737900000000456e-07
1.347500023441278727e-01,1.007973400000000008e-04
1.349999896699453361e-01,-9.058803499999999774e-04
1.352499769957626052e-01,8.320611799999999732e-04
1.355000437835399973e-01,4.523533800000000102e-04
1.357500311093572387e-01,-5.916859400000000361e-04
1.360000184351747021e-01,-3.750973700000000024e-04
1.362500057609921933e-01,4.253104599999999835e-04
1.364999930868094347e-01,9.418263100000000537e-04
1.367499804126268981e-01,-4.013217199999999981e-04
1.370000472004042902e-01,-4.703015599999999939e-04
1.372500345262215593e-01,7.133979600000000133e-04
1.375000218520390227e-01,1.669333999999999965e-04
1.377500091778565139e-01,-1.160182799999999893e-03
1.379999965036737553e-01,9.480340999999999768e-04
1.382499838294912187e-01,1.301883799999999937e-04
1.384999711553087098e-01,-1.355938799999999948e-03
1.387500379430858799e-01,-3.408329899999999665e-05
1.390000252689033433e-01,1.917243599999999941e-04
1.392500125947205847e-01,-2.417292200000000044e-04
1.394999999205380758e-01,-3.106608299999999738e-04
1.397499872463555393e-01,-2.569383400000000090e-04
1.399999745721727806e-01,-3.958436500000000026e-04
1.402500413599501727e-01,4.224945799999999972e-04
