Engineering Strain-X,Engineering Stress(MPa)-Y
0.227,0.034160448799978
0.228,0.0342352083323186
0.229,0.0345393798863068
0.23,0.034719459438713
0.231,0.0349195174259395
0.232,0.0348798331378439
0.233,0.0350691689540003
0.234,0.0352983841477057
0.235,0.0357583482559882
0.236,0.0358278957067916
0.237,0.0361404566027026
0.238,0.036131432207917
0.239,0.0361440462145227
0.24,0.0365569372679778
0.241,0.0365192163815343
0.242,0.036829605310084
0.243,0.0369017358835381
0.244,0.0372071428937115
0.245,0.0372593411752003
0.246,0.0373096987881718
0.247,0.0376641834758234
0.248,0.0377446182683404
0.249,0.0380393450571144
0.25,0.0380551200962496
0.251,0.0384118309393232
0.252,0.0385470749536778
0.253,0.0387585622910323
0.254,0.0389087008155671
0.255,0.0388377643232983
0.256,0.0392235390300533
0.257,0.0394958677452114
0.258,0.0397340093905319
0.259,0.0397113679474929
0.26,0.0399506989591646
0.261,0.0400551767091228
0.262,0.0403438762434382
0.263,0.0404228469436031
0.264,0.0407409125619421
0.265,0.0408468625144183
0.266,0.0410958746815338
0.267,0.0412299376292326
0.268,0.0414724049538333
0.269,0.0415673430466599
0.27,0.0417015944673923
0.271,0.0418956694314101
0.272,0.0421961383749351
0.273,0.0422982065910851
0.274,0.0426095768039735
0.275,0.0426004251439777
0.276,0.0427766241750496
0.277,0.0430818225568702
0.278,0.0431630816161848
0.279,0.0434327700318382
0.28,0.0435434135591726
0.281,0.0438651587284803
0.282,0.0440059497267197
0.283,0.0442592959469074
0.284,0.0443397505231989
0.285,0.044605028893793
0.286,0.0445957545385362
0.287,0.0448419347789616
0.288,0.0452011609162334
0.289,0.0453788882482667
0.29,0.0454922618593182
0.291,0.0457197475362684
0.292,0.0456508224593836
0.293,0.0460506056928989
0.294,0.0461821662005283
0.295,0.0464509884736123
0.296,0.0464205650312594
0.297,0.046823921277365
0.298,0.0469592015175323
0.299,0.0473050420054164
0.3,0.0474918341163344
0.301,0.0476425013647326
0.302,0.0480119578524033
0.303,0.0479763503403806
0.304,0.0483956040304534
0.305,0.048392714833857
0.306,0.0484748509189237
0.307,0.0488209674231723
0.308,0.0487806821831551
0.309,0.0490890674424311
0.31,0.0491617262347435
0.311,0.0494439623879083
0.312,0.0497066244680039
0.313,0.049881264505606
0.314,0.0502275313409047
0.315,0.0502964943520864
0.316,0.0506126036249686
0.317,0.0509755320044889
0.318,0.0511324715455308
0.319,0.051312377989842
0.32,0.0513564100897917
0.321,0.0516279100411213
0.322,0.0518989056155565
0.323,0.0520374711898531
0.324,0.0521159608550522
0.325,0.0522580029348402
0.326,0.0524518569267148
0.327,0.0526770959342455
0.328,0.0529279866232992
0.329,0.0531987956597427
0.33,0.0534837897094428
0.331,0.0537772354382663
0.332,0.0540733995120801
0.333,0.0543665485967511
0.334,0.0546509493581459
0.335,0.0549208684621314
0.336,0.0551705725745746
0.337,0.055394328361342
0.338,0.0555864024883007
0.339,0.0558606781746644
0.34,0.0561009796039352
0.341,0.055912921941753
0.342,0.0562782695845974
0.343,0.056422736700667
0.344,0.0567358557277607
0.345,0.0569376729819606
0.346,0.0573960230935598
0.347,0.057718359579668
0.348,0.0578243877968968
0.349,0.0581352156977782
0.35,0.0584262092843718
0.351,0.0586815534738318
0.352,0.0590735977424322
0.353,0.0591834710803313
0.354,0.0596111031022276
0.355,0.0600171026123118
0.356,0.0601186990965687
0.357,0.0604949539826843
0.358,0.0605620349820836
0.359,0.0608771967561154
0.36,0.0610327177492918
0.361,0.0615196942689645
0.362,0.0620652917590655
0.363,0.0621672276476468
0.364,0.0626584177500869
0.365,0.0628405555807786
0.366,0.0633759769628392
0.367,0.0636956834664716
0.368,0.0637666319314202
0.369,0.0642663233432696
0.37,0.0648114169987967
0.371,0.0648901710540419
0.372,0.0655195645359201
0.373,0.0658623628196808
0.374,0.0663077652385459
0.375,0.0665453494426355
0.376,0.0669193668091355
0.377,0.0670720948895436
0.378,0.0677038275746892
0.379,0.0682425368659077
0.38,0.0685151186823244
0.381,0.0689927719030795
0.382,0.0696573107223959
0.383,0.0702565291947821
0.384,0.0705335881155428
0.385,0.0708228461047126
0.386,0.0711696011668434
0.387,0.0718186853142053
0.388,0.0720346883729052
0.389,0.0729546943014513
0.39,0.073215808651945
0.391,0.0740228631926993
0.392,0.0741691382032344
0.393,0.0747792817969026
0.394,0.0749406036859665
0.395,0.0758643257277274
0.396,0.0766461723088741
0.397,0.076784761929938
0.398,0.0778218423634775
0.399,0.078433830232124
0.4,0.0790688519398228
0.401,0.0800195451966513
0.402,0.0801857909742852
0.403,0.0812185264322177
0.404,0.0822871736826491
0.405,0.0825080802582947
0.406,0.0834175393013468
0.407,0.0842348527045649
0.408,0.0849676324013408
0.409,0.0851583878484003
0.41,0.0862059160463543
0.411,0.0867085614115862
0.412,0.0880928124185658
0.413,0.0891343219819478
0.414,0.0900126115512069
0.415,0.090541838468606
0.416,0.0918473009018351
0.417,0.0924833386971525
0.418,0.0936101707720058
0.419,0.0943349942689212
0.42,0.0959605442096213
0.421,0.0970105579431577
0.422,0.0981726192204037
